dataset,index,split,text
R8,677,validation,berliner bank suffers losses on stuttgart loans berliner bank ag has suffered losses of between and mln marks through credits granted by its stuttgart branch by officials there exceeding their powers a bank spokesman said in answer to queries the spokesman declined to say exactly how large the losses were berliner bank has suspended the three managers of its stuttgart branch and is continuing an investigation into the case in which state prosecutors are also participating the fact that powers had been exceeded emerged in a routine check at the branch the city of west berlin owns pct of berliner bank and the rest is held by small shareholders reuter
R8,880,validation,bank of montreal cuts prime rate to pct from pct effective friday
Ohsumed,3463,test,"Patch and prick test study of 593 healthy subjects.  593 recruits selected by the Military Health Service as being healthy and without a history of present or previous dermatitis, or ocular refraction defects, were patch tested with the GIRDCA (Italian Research Group on Contact and Environmental Dermatitis) standard series.  Of these, 336 were also patch tested with substances used in the processing and dyeing of textiles and prick tested with 8 major allergens.  74 (12.5%) reacted to 1 or more substances.  The most frequent sensitizers were: thimerosal (28 cases), ammoniated mercury (7 cases), phenol-formaldehyde resin (6 cases), parabens, nickel and Disperse Red 17 (4 cases each).  113 recruits reacted to 1 or more prick test allergens.  We have demonstrated the importance of establishing such reference values in healthy groups for the correct evaluation of data collected from selected groups."
Ohsumed,66,validation,Denatured muscle grafts for nerve repair. An experimental model of nerve damage in leprosy   About 20% of patients with leprosy develop localised granulomatous lesions in peripheral nerves.  We report experiments in guinea-pigs in which freeze-thawed autogenous muscle grafts were used for the treatment of such mycobacterial granulomas.  Granulomas were induced in guinea-pig tibial nerves and the animals were left for 7 to 100 days in order to assess maximal damage.  The local area of nerve damage was then excised and the gap filled with denatured muscle grafts.  Clinical assessment after periods up to 150 days showed good sensory and motor recovery which correlated well with the histological findings.  The muscle graft technique may be of value for the treatment of chronic nerve lesions in selected cases of leprosy.
Ohsumed,1477,test,"Nicotine-replacement therapy with use of a transdermal nicotine patch--a randomized double-blind placebo-controlled trial   The rate of smoking was significantly reduced in volunteer subjects by providing effective nicotine replacement, self-help material, and weekly visits with a nurse for 6 weeks.  Nicotine-replacement therapy with a transdermal nicotine patch (Nicolan) almost doubled the 6-week smoking-cessation rate in comparison with that in a placebo group (77% versus 39%; P = 0.002) among subjects who were smoking at least 20 cigarettes per day at baseline.  Although most subjects who used the active nicotine patches had skin reactions, the reactions were primarily mild.  For use of both active and placebo patches, the level of patient compliance was high.  Among subjects who continued to smoke, the use of cigarettes was decreased to less than 50% of the baseline smoking level in 7 of 7 with active nicotine patches and in 15 of 19 with placebo patches.  Outcomes beyond 6 weeks showed a substantial relapse rate in both groups.  Thus, when nicotine-replacement therapy is provided, a need exists for concurrent behavioral intervention and training for prevention of a relapse, neither of which was part of this protocol."
Ohsumed,904,test,"Tuftsin deficiency in AIDS.  Tuftsin is an endogenous tetrapeptide that stimulates phagocytosis and is released from the Fc fragment of IgG by a splenic endocarboxypeptidase.  Tuftsin activity and splenic function were measured in 21 patients with AIDS, 7 patients with AIDS-related complex (ARC), 22 patients who had undergone splenectomy, and 37 healthy volunteers.  There was a significant inverse correlation between tuftsin activity and splenic function in all subjects.  Tuftsin activity was significantly lower in patients with AIDS, ARC, and in those who had undergone splenectomy compared with healthy volunteers.  Tuftsin deficiency may contribute to the risk of bacterial infection in symptomatic HIV-positive individuals."
Ohsumed,1377,test,"Identification of viable myocardium in patients with chronic coronary artery disease and left ventricular dysfunction. Comparison of thallium scintigraphy with reinjection and PET imaging with 18F-fluorodeoxyglucose   In patients with chronic coronary artery disease and left ventricular dysfunction, the distinction between ventricular dysfunction arising from myocardial fibrosis and ischemic, but viable, myocardium has important clinical implications.  By positron emission tomography (PET), enhanced fluorine-18-labeled fluorodeoxyglucose (FDG) uptake in myocardial segments with impaired function and reduced blood flow is evidence of myocardial viability.  Reinjection of thallium-201 at rest immediately after stress-redistribution imaging may also provide evidence of myocardial viability by demonstrating thallium uptake in regions with apparently ""irreversible"" defects.  To compare these two methods, we studied 16 patients with chronic coronary artery disease and left ventricular dysfunction (ejection fraction, 27 +/- 9%), all of whom had irreversible defects on standard exercise-redistribution thallium single-photon emission computed tomography (SPECT) imaging.  Thallium was reinjected immediately after the redistribution study, and SPECT images were reacquired.  The patients also underwent PET imaging with FDG and oxygen-15-labeled water.  A total of 432 myocardial segments were analyzed from comparable transaxial tomograms, of which 166 (38%) had irreversible thallium defects on redistribution images before reinjection.  FDG uptake was demonstrated in 121 (73%) of these irreversible defects.  Irreversible defects were then subgrouped according to the degree of thallium activity, relative to peak activity in normal regions.  Irreversible defects with only mild (60-85% of peak activity) or moderate (50-59% of peak) reduction in thallium activity were considered viable on the basis of FDG uptake in 91% and 84% of these segments, respectively.  In contrast, in irreversible defects with severe reduction in thallium activity (less than 50% of peak), FDG uptake was present in 51% of segments.  In such severe defects, an identical number of segments (51%) demonstrated enhanced uptake of thallium after reinjection.  In these severe ""irreversible"" defects, data on myocardial viability were concordant by the two techniques in 88% of segments, with 45% identified as viable and 43% identified as scar on both PET and thallium reinjection studies.  These observations suggest that thallium imaging can be used to identify viable myocardium in patients with chronic coronary artery disease and left ventricular dysfunction.  Most irreversible defects with only mild or moderate reduction in thallium activity represent viable myocardium as confirmed by FDG uptake.(ABSTRACT TRUNCATED AT 400 WORDS)."
R8,935,test,southwest bancorp swb rd qtr loss shr loss primary cts vs profit cts shr loss diluted cts vs cts net loss vs profit avg shrs vs nine mths shr loss primary cts vs profit cts shr loss diluted cts vs cts net loss vs profit avg shrs vs loans mln vs mln deposits mln vs mln assets mln vs mln note prior qtr and nine mth figures include operating loss carryforward gains of dlrs or two cts per share and dlrs or four cts per share respectively reuter
Ohsumed,318,validation,"Upper gastrointestinal pathology in familial adenomatous polyposis: results from a prospective study of 102 patients.  Multiple gastric and duodenal biopsy specimens from 102 asymptomatic patients with familial adenomatous polyposis, taken during a prospective endoscopic screening programme were examined.  One hundred patients had microscopic gastroduodenal pathology, often in the absence of macroscopic lesions.  Adenomas were found in 94 patients in the duodenum, in the second and third parts.  Hyperplasia of villous and crypt epithelium was also seen, sometimes in the absence of adenomas: this may be a precursor of neoplastic change.  In the stomach fundic gland polyps were the commonest abnormality, seen microscopically in 44 patients.  Chronic antral gastritis was common in patients without fundic polyps.  Gastric adenomas were present in six patients, all of whom also had duodenal adenomas.  If duodenal adenomas in familial adenomatous polyposis have a similar malignant potential to those in the colorectum sequential endoscopy and biopsy are necessary to detect cancer in these patients."
Ohsumed,3466,test,"Transcriptional regulation of ferritin messenger ribonucleic acid levels by insulin in cultured rat glioma cells.  Recent data have shown that ferritin, a ubiquitous protein, has a role as a regulator of cellular differentiation.  In the present study we have investigated the expression of ferritin mRNAs in cultured C6 cells, a rat glioma cell line, in response to insulin, which has an important role in cellular growth and differentiation.  Insulin stimulated steady state levels of both ferritin heavy chain and ferritin light chain mRNAs.  An increase in the level of ferritin heavy or light chain mRNA was detected after 2 h of incubation with insulin, and a plateau was reached after 48 h for heavy chain mRNA and after 72 h for light chain mRNA.  The responses were dose-dependent and were maximal at 100 nM for both mRNAs.  Treatment of cells with actinomycin-D showed that insulin had no effect on the posttranscriptional stability of these mRNAs.  Actinomycin-D inhibited insulin-induced accumulation of both mRNAs, suggesting transcriptional stimulation of ferritin genes by insulin.  A nuclear run-on assay showed that the insulin-induced increase in ferritin heavy chain mRNA was due to an increase in the rate of gene transcription.  We also demonstrated that insulin-like growth factor-I (IGF-I) increased ferritin heavy and light chain mRNA levels in a dose-dependent fashion, and that the maximum effect was obtained at a concentration of 10 nM on both mRNA levels.  IGF-I was not only 10-fold more potent, but the absolute level of maximum stimulation was also about 2-fold greater than that for insulin.  The combination of insulin (100 nM) and IGF-I (10 nM) showed no additive effect.  The results suggested that the ferritin heavy and light chain genes are transcriptionally regulated by insulin and influenced by IGF-I."
SST-2,1479,test,"City by the Sea is the cinematic equivalent of defensive driving : It 's careful , conscientious and makes no major mistakes ."
R8,1130,test,baker communications inc bakr year loss shr loss cts vs loss cts net loss vs loss revs vs reuter
Ohsumed,1038,test,"The glucose transporter and blood-brain barrier of human brain tumors.  The glucose transporter of the human brain has been localized to endothelial cells expressing the blood-brain barrier, but little is known regarding its mechanism of induction or whether its expression is exclusively linked with restricted vascular permeability.  We investigated glucose transporter expression by vessels in human astrocytic tumors and pulmonary metastases to the brain using immunohistochemical techniques.  Vessels in 9 of 10 low-grade astrocytomas and 8 of 10 anaplastic astrocytomas were positive for glucose transporter.  Glioblastoma vessels were transporter-positive in only 2 of 10 specimens.  Vessels in all three metastatic tumors were negative for the glucose transporter.  The decrease in transporter expression observed in higher-grade tumors occurred independently of increases in vascular permeability.  In low-grade astrocytomas and glioblastomas transporter expression and contrast enhancement were inversely related, but vessels in 6 of 9 anaplastic astrocytomas were transporter-positive despite contrast enhancement.  These findings suggest that separate mechanisms induce the glucose transporter and the permeability restrictions of the human blood-brain barrier.  They also have potential implications for the therapy and prognosis of astroglial neoplasms."
SST-2,533,validation,( D ) oes n't bother being as cloying or preachy as equivalent evangelical Christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .
R8,158,test,standard oil says british petroleum share tender extended until may
Ohsumed,2007,test,"Drug-induced supraventricular tachycardia: a case report of fluoxetine.  We report the occurrence of supraventricular tachycardia and hypotension in a 54-year-old woman after maintenance therapy with fluoxetine.  Although cases of tachycardia and palpitations have been reported, supraventricular tachycardia and hypotension have not been directly attributed to fluoxetine."
SST-2,428,validation,"For all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when Godard can no longer handle the rigors of filmmaking ."
Ohsumed,234,validation,Posterior mediastinal teratoma with abdominal extension.  Posterior mediastinal benign teratomas are uncommon neoplasms in infancy; nine cases have been reported so far.  A one month old baby was found to have a benign posterior mediastinal teratoma infiltrating the lower oesophagus from the level of the carina through the oesophageal hiatus into the upper abdomen.  Partial oesophagectomy provided a successful outcome.
R8,466,test,royal gold rgld o agrees to make acquisition royal gold inc said it has signed two agreements in principle to acquire the stock of two transwestern mining co units for mln shares of royal gold common stock royal said the assets of the units it will acquire from transwestern are mostly gold properties it added it expects to close the deals on june and subject to standard closing conditions including title and environmental approval and closing of a definitive agreement royal said the shares issued in the deal will be subject to registration rights reuter
SST-2,1349,test,"Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood ."
R8,629,validation,hearst buys houston chronicle for mln dlrs the hearst corp is buying the houston chronicle from houston endowment inc for mln dlrs the announcement was made jointly by frank bennack jr president and chief executive officer of hearst and richard johnson president of the chronicle the houston endowment is selling the paper to comply with federal tax laws requiring charitable institutions to divest themselves of profit making subsidiaries by the chronicle has a daily circulation of over and is in competition with the houston post owned by the toronto sun publishing corp with a circulation of about the acquisition gives hearst its biggest newspaper holding in texas where the california based publisher already owns papers in san antonio beaumont and laredo the chain also owns among others the flagship san francisco examiner the los angeles herald examiner and the seattle post intelligencer reuter
IMDb-top_1000,281,test,"Commissaire Mattei(André Bourvil) is a single with a little gun who loves cats and his boss at the Paris police department is a philosopher who knows that even the police becomes sooner or later guilty. That is what the film is all about. And a jewel robbery at the place Vendome.<br /><br />Corey (Delon) brings the plan from prison, Vogel(Volonté)joins him and helps him against two tough guys, who are after him, because he took mafioso Ricos(Andre Eycan) money, while Rico already took Coreys girl friend and left him very much alone for five years in jail. Corey and Vogel find a third man, Jansen(Montand), a former police officer and sniper who opens a security lock by shooting special hand made ammunition into a hole. A perfect plan and cooperation, but they have to sell the booty and there is Mattei in the role of a buyer in disguise. The circle closes. Running to help each other they are shot by the cat loving Mattei and his little pistol.<br /><br />It took Melville 20 years he says to make a robbery film after he failed to get a contract for RIFFIFI. Melville wrote the screenplay and filmed in the south of France and in Paris of yesteryear. The great Henri Decae is as usual the lighting cameraman. It is the one before last picture of Melvilles who died after another film with Delon in 1972.<br /><br />Melville actually wanted Belmondo instead of Volonté, he didn't like that Italian at all, but Volonté-Vogel is an excellent fugitive and gives next to Bourvil the most convincing performance. But mind you: Melville notes, that Volonté is an instinctive actor, a strange character, very wearying and absolutely impossible on a French set. Melville didn't like him at all and didn't want to work with him ever again.<br /><br />Melville is wrong. Volonté give the most lively character in the nowhere of not so many interesting characters. You can see what he is feeling being chased by Mattei and his little dangerous gun and all the dogs of France in winter 70. A wild actor.<br /><br />Also André Bourvil, who passed away close to the time of the filming. He also was not first choice, but definitely a great substitute. He carries the instinct of a lonely hunter through the whole film and gets in the end his chance to become guilty once more.<br /><br />Jansen has entered at night the jewelry shop with a rifle and a tripod but risks eventually freehandedly a successful shot. When he meets Delon the first time we already know that the elegant Jansen has a severe drinking problem. After the robbery Montand renounces to take his part of the booty and mentions to Delon, who looks up to him, that he only got into the red circle, because he wanted to take revenge on the inhabitants of his wardrobe. Delon doesn't catch what he means. The audience recalls having seen Montand in a great scene in his haunted house fighting helplessly nightmare creatures that come out of the wardrobe and attack him. At that time a very rare scene, one recalls a long time after. I bet it was ever so difficult to arrange and direct that stuff at a time no one imagined the coming days of digital movie making. Great artwork when art was made by hand.<br /><br />We sure will remember a crew like the actors, still it seems even after 33 years this one stays the less popular of the six thrillers of Melville. What is wrong with it? I am afraid one doesn't take much interest in those three actors (showing three criminals) and their police hunter. We learn too little about Corey and his fatal 5 years away from his beautiful girl(Anna Douking). Montand is still a great sniper, but what made him become a drinking man with funny creatures in his wardrobe. Delon acts as if he is in an earlier adventure of the samourai, Volonté is the man in the trunk of Delons American car and superbly moving and Mattei is swell to look at, a great actor at the edge of his life. But how could he ever possibly doubt that all are guilty ?<br /><br />In an interview Melville states, that there is no woman in the film. Not in the very red circle, but I remember well that jolly good looking female Anna Douking (with no future career). We are in the 70s. There in fact rises a woman from the bed of an old mafioso wearing nothing and walks slowly to the door to listen to the voice of her old lover Delon. Bardot did something like that 10 years earlier. This time Melville was directing. Well done.<br /><br />The RED CERCLE has certainly added a few but not many glittering gems to film history. The robbery at Place Vendome and Montands wonder bullet the inhabitants of the wardrobe and Volonté escaping Bouvil in white underwear and carrying his trousers carefully across a stream. That is too little for a great gangster and robbery movie. But the 110 minutes never bore you and it is a game on a high level. And there are probably some secrets you learn when you see the film over and over again. None of the secrets is that we are all guilty and the late Francois Perier is also featured.<br /><br />Michael Zabel"
R8,1845,test,nat l distillers says it agrees to sell spirits unit for mln dlrs to american brands
Ohsumed,889,test,"Antibiotic-associated hypoprothrombinemia: a review of prospective studies, 1966-1988.  Many antimicrobial agents have been associated with hypoprothrombinemia.  The precise mechanisms are unknown, but alteration in vitamin K status or utilization is involved.  The two postulated mechanisms implicate either direct inhibition of biosynthesis of the vitamin K-dependent clotting factors by the N-methylthiotetrazole (NMTT) moiety found in certain antimicrobial agents or eradication of vitamin K-producing intestinal microflora in patients with reduced oral intake of vitamin K.  An English-language review of all prospective studies reported between 1966 and 1988 in which serial prothrombin times were monitored in adult patients revealed that the incidence of hypoprothrombinemia varied from 3.7% to 64% with NMTT-containing regimens and from 0% to 24% with non-NMTT-containing regimens.  Detailed evaluation of these and other studies suggests that certain risk factors, including malnutrition, hepatic and renal dysfunction, older age, and severity of illness, may be the major determinants of hypoprothrombinemia.  The hypothesis that the NMTT side chain is primarily responsible for hypoprothrombinemia may not be justified.  We conclude that patients at high risk for coagulopathy should be carefully monitored and that serious consideration should be given to the use of prophylactic vitamin K in such cases."
Ohsumed,3767,test,"Childhood traumas: an outline and overview   Childhood psychic trauma appears to be a crucial etiological factor in the development of a number of serious disorders both in childhood and in adulthood.  Like childhood rheumatic fever, psychic trauma sets a number of different problems into motion, any of which may lead to a definable mental condition.  The author suggests four characteristics related to childhood trauma that appear to last for long periods of life, no matter what diagnosis the patient eventually receives.  These are visualized or otherwise repeatedly perceived memories of the traumatic event, repetitive behaviors, trauma-specific fears, and changed attitudes about people, life, and the future.  She divides childhood trauma into two basic types and defines the findings that can be used to characterize each of these types.  Type I trauma includes full, detailed memories, ""omens,"" and misperceptions.  Type II trauma includes denial and numbing, self-hypnosis and dissociation, and rage.  Crossover conditions often occur after sudden, shocking deaths or accidents that leave children handicapped.  In these instances, characteristics of both type I and type II childhood traumas exist side by side.  There may be considerable sadness.  Each finding of childhood trauma discussed by the author is illustrated with one or two case examples."
R8,1146,test,general signal corp gsx rd qtr net shr cts vs cts net mln vs mln revs mln vs mln nine mths shr dlrs vs dlrs net mln vs mln revs billion vs billion reuter
Ohsumed,144,test,"Detection, prevalence, and prognosis of asymptomatic carcinoma of the cervix.  Between 1979-1986, 82 of 407 patients (20%) treated for infiltrative carcinoma of the cervix were asymptomatic at the time of diagnosis.  Sixteen (20%) of these 82 patients had stage IA, 60 (73%) had stage IB, and six (7%) had stage IIA disease.  Asymptomatic patients represented 16 of 23 (70%) of stage IA, 60 of 196 (31%) of stage IB, and six of 77 (8%) of stage IIA.  In the Netherlands, population screening for cervical carcinoma is conducted on women aged 35-55 years.  To examine the prevalence of asymptomatic cervical carcinoma and the way in which it was detected in different age groups, we studied the patients referred to our department.  Among the patients younger than 35 years with cervical carcinoma, 20 of 70 (29%) were asymptomatic with disease detected by incidental screening, whereas eight of 177 (5%) in the group 55 years or older had been detected by incidental screening.  In the age category 35-55 years, 54 of 160 (34%) were asymptomatic.  Patients aged 35-55 years had undergone population screening or incidental screening.  In the patients 55 years or older, asymptomatic disease was significantly less prevalent than in younger patients.  Only one of the 66 asymptomatic patients in stage IB or higher suffered tumor recurrence.  Among symptomatic patients, 25 of 136 (18%) with stage IB and 17 of 71 (24%) with stage IIA had tumor recurrence.  Despite the favorable prognosis of patients with asymptomatic carcinoma, asymptomatic presentation could not be shown to be a significant prognostic factor, as were tumor diameter and lymph node status."
Ohsumed,191,validation,"Segregation analysis of breast cancer from the cancer and steroid hormone study: histologic subtypes   The segregation pattern of breast cancer in white families from the Cancer and Steroid Hormone Study was investigated.  Families were categorized into four groups based on the histologic type of breast cancer in the probands:ductal cancer, lobular cancer, adenocarcinoma, and medullary cancer.  The ductal cancer sample was further split into a premenopausal-proband and a postmenopausal-proband subset.  Results for six complex segregation analyses are presented; the findings suggest heterogeneity in the transmission of breast cancer.  For all analyses, there was no evidence for a multifactorial component in the mixed model, ie, a major locus plus other transmission, genetic and/or cultural.  Interpretation of the medullary cancer, adenocarcinoma, and lobular cancer analyses does not permit discrimination among the major locus models.  Segregation of breast cancer in the entire ductal sample was consistent with autosomal recessive transmission.  In the ductal subanalyses, a recessive gene was sufficient to explain the breast cancer distribution when the proband had postmenopausal breast cancer.  In contrast, when the proband had premenopausal breast cancer, the transmission model was consistent with a dominant major gene, with sporadic cases of disease."
Ohsumed,581,test,"Familial trigeminal anesthesia.  Familial congenital trigeminal anesthesia as an isolated abnormality is an unusual disorder.  To our knowledge, only one family has previously been reported.  We report here a family with three affected members demonstrating facial anesthesia, bilateral corneal changes, and nasal septal damage secondary to self-traumatization.  Magnetic resonance imaging demonstrated hypoplasia of gasserian ganglia and trigeminal nerves in the affected father of two affected sons.  The pathogenesis of this disorder appears to be congenital hypoplasia of the trigeminal nerves and gasserian ganglia that is inherited in a dominant fashion."
Ohsumed,103,test,"A report of fluorosis in the United States secondary to drinking well water.  A 54-year-old female resident of Wellston, Okla, was found to have osteosclerosis on a routine chest roentgenogram.  Subsequent investigation disclosed the cause of her osteosclerosis to be fluorosis secondary to the ingestion of well water containing 429 mumol/L of fluoride (recommended levels, 11 to 58 mumol/L).  Water samples were also obtained from the 12 wells on properties adjacent to the index case.  In three other wells, all at similar depths as the well of the index case, the fluoride concentration of the water was greater than 212 mumol/L.  Urine samples from members of the four households who obtain their drinking water from these wells contained elevated urinary fluoride levels.  Thus, fluorosis may develop in certain areas of the United States as a result of the natural occurrence of fluoride in the groundwater.  Consequently, in known endemic areas, it would appear reasonable to measure the fluoride concentration of the well water at the time of drilling."
Ohsumed,3708,test,"Distribution of endogenous albumin in the glomerular wall of proteinuric patients.  Glomerular proteinuria seems to be related, in part, to loss or impairment of the normal barrier function of the glomerular capillary wall.  To investigate the functional properties of this barrier, endogenous albumin was revealed in the glomerular wall of proteinuric patients and compared with a nonproteinuric control by immunoelectron microscopy using the protein A-gold method.  In the control biopsy, peaks of albumin accumulation were noted in the subendothelial area and in the inner portion of the lamina densa, with gradual tapering of the distribution toward the epithelial side of the basement membrane.  The urinary space and epithelial cells were weakly labeled.  In tissues from proteinuric patients, albumin was distributed throughout the entire width of the glomerular basement membrane, although the pattern of accumulation varied between patients.  The urinary space showed significant labeling associated with some flocculent material.  Mesangial areas were heavily labeled in tissues from both control and proteinuric patients.  In the latter, lysozomes in glomerular and tubular epithelial cells also accumulated albumin, which is evidence of reabsorption.  These results reveal the existence, in normal conditions, of a barrier located in the subendothelial area of the glomerular basement membrane, the loss of which, as in the idiopathic nephrotic syndrome, leads to diffuse distribution of albumin in the glomerular capillary wall."
Ohsumed,1535,test,"Estimated burden of diabetes mellitus in Manitoba according to health insurance claims: a pilot study.  OBJECTIVE: To estimate the burden of diabetes mellitus in Manitoba from 1980 to 1984.  DESIGN: Review of the Manitoba Health Services Commission (MHSC) database.  The validity of the MHSC data was established through two substudies: one involved self-reports from a survey of elderly Manitobans, and the other involved people with confirmed diabetes enrolled in the provincial diabetes education program.  SUBJECTS: Sample of 100,000 people stratified by age, sex and MHSC health region: 50,000 were aged 25 to 64 years, and 50,000 were aged 65 or more.  All MHSC claims containing the ICD-9-CM code for diabetes mellitus or gestational diabetes were identified.  MAIN RESULTS: Of the sample 7627 people were found to have a diagnosis of diabetes, the annual prevalence being 0.8% among those 25 to 44 years of age, 3.5% among those 45 to 64 and 7.6% among those 65 or older.  The annual incidence rate among those over 25 years of age was 7.8 per 1000.  Of the 4556 pregnant women 25 to 44 years old 85 (1.9%) had diabetes; 23 were believed to have gestational diabetes.  CONCLUSIONS: The incidence and prevalence rates were similar to those determined on the basis of self-reports in Canadian and US national surveys.  The use of an administrative database such as that of the MHSC will provide key information for planning health services for diabetic patients and will permit the monitoring of long-term trends in the incidence and prevalence of the disease."
Ohsumed,1451,test,"Mammography and early breast cancer detection.  Screening mammography has been shown to reduce breast cancer mortality.  Both film-screen mammography and xeromammography are highly sensitive and specific.  Mammography accreditation programs assure physicians and patients that a facility provides mammography of the highest quality, using the lowest possible radiation dose.  Mammographic signs of early cancer include a small mass, calcifications, architectural distortion and a neodensity.  Dense tissue may result in a false-negative examination even when a cancer is palpable, with adverse effects if biopsy is delayed."
Ohsumed,1558,test,"Enhanced in vitro uptake and retention of 3H-tetraphenylphosphonium by nervous system tumor cells.  Photodynamic therapy is a promising treatment for human brain tumors because of the selective retention of certain compounds by tumor cells.  Certain lipophilic cationic compounds, such as tetraphenylphosphonium (TPP), are selectively taken up by a variety of carcinomas.  Although preferential retention of TPP has been demonstrated for the breast carcinoma cell line MCF-7, this compound had not been tested previously on cells derived from nervous system tumors.  In the present study, tritiated-TPP (3H-TPP) uptake and retention for eight different cell cultures of three histologically different types of nervous system tumors was measured and the data were compared to a positive control (MCF-7) and negative controls (normal African Green monkey kidney epithelium (CV-1) and the normal human fibroblast (WI-38) cell lines).  Uptake and retention characteristics could be grouped by specific pathological tumor types, but individual tumor variability was notable.  Malignant astrocytoma (grade III/III glioblastoma) and malignant neurofibrosarcoma cells showed preferential uptake and retention of 3H-TPP relative to meningioma cells and normal controls.  A clonogenic assay utilizing the cytotoxic lipophilic cationic compound dequalinium showed strong retainers of 3H-TPP to be more susceptible to the effects of dequalinium than weak retainers.  These data demonstrate that certain human and experimental animal nervous system tumor cell lines retain lipophilic compounds possessing a delocalized positive charge.  Lipophilic cationic compounds may be useful in the intraoperative delineation of tumor margins and in the photodynamic therapy of certain nervous system tumors."
SST-2,1111,test,"For all its highfalutin title and corkscrew narrative , the movie turns out to be not much more than a shaggy human tale ."
SST-2,619,test,"Hey , who else needs a shower ?"
R8,1414,test,mci communications corp mcic o rd qtr net shr eight cts vs six cts net mln vs mln revs mln vs mln nine mths shr cts vs cts net mln vs mln revs billion vs billion note rd qtr and nine mths include pre tax gains of from antitrust settlement of dlrs and dlrs respectively rd qtr includes pre tax gain of mln dlrs from sale of mci airsignal subsidiary and after tax extraordinary loss of mln dlrs from early redemption of pct subordinated notes reuter
Ohsumed,2517,test,"Multiple myeloma: VMCP/VBAP alternating combination chemotherapy is not superior to melphalan and prednisone even in high-risk patients.  The efficacy of alternating vincristine, melphalan (M), cyclophosphamide, prednisone/vincristine, carmustine, doxorubicin, and prednisone (VMCP/VBAP) polychemotherapy was compared with the M and prednisone (MP) regimen as induction treatment in multiple myeloma (MM).  Three hundred four MM patients entered this study between March 1983 and July 1986; the analysis was performed in December 1989.  The treatment groups did not show significant differences with respect to major prognostic factors.  Median overall survival was 33.8 months.  In the VMCP/VBAP and MP arms, after 12 induction chemotherapy cycles, 59.0% and 47.3% (P less than .068) of the patients achieved an M component reduction greater than 50%.  No significant difference was observed in the two treatment arms in terms of remission duration (21.3 v 19.6 months, P less than .66) and survival (31.6 v 37.0 months, P less than .28).  Patients younger than 65 years did not show any advantage from the alternating polychemotherapy.  At diagnosis, the plasma cell labeling index (LI) and serum beta-2 microglobulin (beta 2-m) were evaluated in 173 and 183 patients, respectively.  A significantly reduced survival was observed for patients with LI greater than or equal to 2% (16.4 months) or beta 2-m greater than or equal to 6 mg/L (20.4 months).  Even in these poor-risk subgroups, VMCP/VBAP was not superior to MP."
SST-2,303,validation,Trademark American triteness and simplicity are tossed out the window with the intelligent French drama that deftly explores the difficult relationship between a father and son .
Ohsumed,635,validation,"Histologic study of eustachian tube cartilage with and without congenital anomalies: a preliminary study.  We investigated histopathologically the development of the eustachian tube (ET) cartilage at a cellular level in individuals with and without congenital anomalies.  Fourteen specimens were obtained from 14 individuals ranging in age from 24 weeks' gestation to 3 years who had cleft palate or trisomy 21 (Down) syndrome; the 49 specimens in the nonanomaly (control) group were from 49 individuals ranging from 26 weeks' gestation to 85 years of age.  All temporal bone specimens included the ET and its accessory structures, and all were processed and stained with hematoxylin and eosin for histologic study in a routine manner.  The number of cartilage cells in the midcartilaginous portion of the ET was determined by light microscopy.  In all groups, cartilage cell density of the ET decreased with increasing age.  However, cell density tended to be higher at all ages for individuals with cleft palate and microtia versus controls, and tended to be lower at all ages for individuals with Down syndrome."
Ohsumed,1428,test,"Lectin binding sites in normal, scarred, and lattice dystrophy corneas.  Normal, scarred, and dystrophic corneas were histochemically probed with a panel of 16 lectins by means of an avidin-biotin revealing system.  Normal corneal epithelial cells, keratocytes, and endothelial cells expressed at least two distinct N-linked oligosaccharide subsets, of the non-bisected, biantennary and bisected, bi-/triantennary types.  Corneal scars stained variably with the lectin subsets described above, and with Maclura pomifera agglutinin.  Lattice dystrophy corneas showed a loss of the oligosaccharide expression observed on the plasma membranes of normal epithelial cells, and there was concurrent deposition of extracellular glycoprotein within the corneal stroma, which was of the same oligosaccharide subsets as were lost from the epithelial cell plasma membranes.  This extracellular stromal glycoprotein was far more widely deposited than the amyloid and extended well beyond the stromal scarring.  We propose that these observations are related and that in lattice corneal dystrophy a glycoprotein(s) is shed from the plasma membranes of epithelial cells and sequestrated within the corneal stroma, where it subsequently stimulates amyloid deposition."
