[I 2024-11-29 03:47:57,995] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 03:55:23,022] Trial 144 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.920590000766377, 'batch_size': 26, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48710745390677607, 'global_pooling': 'mean', 'learning_rate': 0.0007739562508316864, 'weight_decay': 5.428311921884808e-06, 'beta_0': 0.8513535384727559, 'beta_1': 0.9824587528009517, 'epsilon': 6.96323730419582e-08, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 14:26:00,173] Trial 252 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9000029242305463, 'batch_size': 16, 'attention_heads': 13, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4404131999018418, 'global_pooling': 'mean', 'learning_rate': 0.0009190863952800764, 'weight_decay': 2.836189858426313e-06, 'beta_0': 0.8557362579704262, 'beta_1': 0.9822110976738903, 'epsilon': 1.3568587138162465e-08, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:32:16,299] Trial 253 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9004432057380126, 'batch_size': 16, 'attention_heads': 12, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4450092017982627, 'global_pooling': 'mean', 'learning_rate': 0.0009540303141702, 'weight_decay': 2.466132470604189e-06, 'beta_0': 0.8556721223333226, 'beta_1': 0.982235142619244, 'epsilon': 1.3556290719470562e-08, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:39:13,191] Trial 254 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.9000606640652025, 'batch_size': 22, 'attention_heads': 14, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4471013246856481, 'global_pooling': 'mean', 'learning_rate': 0.0010005719970482057, 'weight_decay': 2.160931450325913e-06, 'beta_0': 0.8535180181439025, 'beta_1': 0.9822547583455461, 'epsilon': 1.2652364775727095e-08, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:45:25,304] Trial 255 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9002334731660081, 'batch_size': 16, 'attention_heads': 12, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45000839501174605, 'global_pooling': 'mean', 'learning_rate': 0.0009854446969355017, 'weight_decay': 2.511954118326723e-06, 'beta_0': 0.8512530076176975, 'beta_1': 0.9822038122303786, 'epsilon': 1.6560393607293116e-08, 'balanced_loss': False, 'epochs': 114, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:51:30,087] Trial 256 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9024858791695485, 'batch_size': 16, 'attention_heads': 13, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4407825573869959, 'global_pooling': 'mean', 'learning_rate': 0.0011972802357820642, 'weight_decay': 1.8685964726483704e-06, 'beta_0': 0.8545222459420587, 'beta_1': 0.9825563592431973, 'epsilon': 1.3333726702545522e-08, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:58:00,664] Trial 257 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9017482471698413, 'batch_size': 21, 'attention_heads': 13, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4468952133763107, 'global_pooling': 'mean', 'learning_rate': 0.0008912309456082674, 'weight_decay': 2.490067358542336e-06, 'beta_0': 0.856354486586603, 'beta_1': 0.9819599651498118, 'epsilon': 1.0594092530471767e-08, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:04:28,087] Trial 258 finished with value: 0.9272727272727272 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9038526510433832, 'batch_size': 20, 'attention_heads': 12, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43536646888947683, 'global_pooling': 'mean', 'learning_rate': 0.0011808576282501854, 'weight_decay': 2.923475435322904e-06, 'beta_0': 0.8556767083096853, 'beta_1': 0.9828002613090582, 'epsilon': 1.3617194251973736e-08, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:10:54,595] Trial 259 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9038113855384401, 'batch_size': 19, 'attention_heads': 12, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43634170055652943, 'global_pooling': 'mean', 'learning_rate': 0.001043278119376693, 'weight_decay': 2.656246475448156e-06, 'beta_0': 0.8526112494281765, 'beta_1': 0.9826135290910061, 'epsilon': 1.1334793036076374e-08, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:16:59,573] Trial 260 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9000251678382194, 'batch_size': 16, 'attention_heads': 12, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44325467962712894, 'global_pooling': 'mean', 'learning_rate': 0.0008448506853742376, 'weight_decay': 1.96808718868332e-05, 'beta_0': 0.8500341382522225, 'beta_1': 0.9822016362611014, 'epsilon': 1.4261014195719437e-08, 'balanced_loss': False, 'epochs': 125, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:23:25,329] Trial 261 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9035408814004008, 'batch_size': 20, 'attention_heads': 13, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4325158623733818, 'global_pooling': 'mean', 'learning_rate': 0.0015567606812670986, 'weight_decay': 2.7070403496559425e-06, 'beta_0': 0.8576340677500806, 'beta_1': 0.9828801143145738, 'epsilon': 1.384312881668515e-08, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:29:38,894] Trial 262 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9026558139054348, 'batch_size': 18, 'attention_heads': 12, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4532705939901481, 'global_pooling': 'mean', 'learning_rate': 0.0011154500627065377, 'weight_decay': 2.0023002097386548e-06, 'beta_0': 0.8541279227313512, 'beta_1': 0.9819152402857123, 'epsilon': 1.7155094836251466e-08, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:35:26,113] Trial 263 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9675559026179447, 'batch_size': 21, 'attention_heads': 11, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44940849122344073, 'global_pooling': 'sum', 'learning_rate': 0.0009365215934725924, 'weight_decay': 0.0007627327634148881, 'beta_0': 0.8586412345779199, 'beta_1': 0.9824816534672463, 'epsilon': 1.0141794249093811e-08, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:43:02,164] Trial 264 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9016521627743934, 'batch_size': 22, 'attention_heads': 14, 'hidden_dimension': 137, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44259645572395584, 'global_pooling': 'mean', 'learning_rate': 0.0013038433419781722, 'weight_decay': 3.0671951799910514e-06, 'beta_0': 0.8549499918725084, 'beta_1': 0.9829244616383055, 'epsilon': 1.415398406544728e-08, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 15:49:23,130] Trial 265 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.907642893065694, 'batch_size': 20, 'attention_heads': 13, 'hidden_dimension': 113, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4359870137786434, 'global_pooling': 'mean', 'learning_rate': 0.0008322037671582394, 'weight_decay': 2.3245300301055915e-05, 'beta_0': 0.8587703032122522, 'beta_1': 0.981639707408524, 'epsilon': 1.8494623136019333e-08, 'balanced_loss': False, 'epochs': 127, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.

[TRIAL] 214 [VALIDATION PERFORMANCE] 0.9272727272727272 [TRAINING LOSS] 0.011058496152982116 [VALIDATION LOSS] 0.3488210266178713 

number                                     214
value                                 0.927273
params_threshold                       0.90166
params_attention_heads                       5
params_balanced_loss                     False
params_embedding_pooling_operation         min
params_attention_pooling_operation         min
params_batch_size                           20
params_dropout_rate                   0.439456
params_early_stopping_patience              13
params_epochs                              159
params_global_pooling                     mean
params_hidden_dimension                    123
params_learning_rate                  0.000814
params_number_of_hidden_layers               0
params_plateau_divider                       9
params_plateau_patience                     11
params_weight_decay                   0.000004
params_beta_0                         0.855017
params_beta_1                         0.983116
params_epsilon                             0.0
user_attrs_epoch                          22.0
user_attrs_training_loss              0.011058
user_attrs_validation_loss            0.348821
params_left_stride                         128
params_right_stride                         64
Name: 214, dtype: object
37 Val: 0.9151515151515152 Test: 0.9044776119402985
38 Val: 0.9030303030303031 Test: 0.9104477611940298
39 Val: 0.896969696969697 Test: 0.9134328358208955
40 Val: 0.9090909090909091 Test: 0.9194029850746268
41 Val: 0.9090909090909091 Test: 0.9253731343283582
42 Val: 0.9272727272727272 Test: 0.8955223880597015
43 Val: 0.9090909090909091 Test: 0.9164179104477612
44 Val: 0.896969696969697 Test: 0.9134328358208955
45 Val: 0.8909090909090909 Test: 0.9253731343283582
46 Val: 0.8909090909090909 Test: 0.9194029850746268
Validation performance: 89.09 & 90.48 ± 1.14 & 92.73
Testing performance: 89.55 & 91.43 ± 0.92 & 92.54

[TRIAL] 233 [VALIDATION PERFORMANCE] 0.9272727272727272 [TRAINING LOSS] 0.015286640843745166 [VALIDATION LOSS] 0.3572965473867953 

number                                     233
value                                 0.927273
params_threshold                      0.905181
params_attention_heads                       6
params_balanced_loss                     False
params_embedding_pooling_operation         min
params_attention_pooling_operation         min
params_batch_size                           21
params_dropout_rate                   0.429738
params_early_stopping_patience              13
params_epochs                              156
params_global_pooling                     mean
params_hidden_dimension                    122
params_learning_rate                  0.001038
params_number_of_hidden_layers               0
params_plateau_divider                       9
params_plateau_patience                     11
params_weight_decay                   0.000004
params_beta_0                         0.855375
params_beta_1                         0.984333
params_epsilon                             0.0
user_attrs_epoch                          19.0
user_attrs_training_loss              0.015287
user_attrs_validation_loss            0.357297
params_left_stride                         128
params_right_stride                         64
Name: 233, dtype: object
37 Val: 0.9090909090909091 Test: 0.9223880597014925
38 Val: 0.9272727272727272 Test: 0.9074626865671642
39 Val: 0.9090909090909091 Test: 0.9253731343283582
40 Val: 0.9151515151515152 Test: 0.9134328358208955
41 Val: 0.9030303030303031 Test: 0.9104477611940298
42 Val: 0.9272727272727272 Test: 0.9134328358208955
43 Val: 0.9212121212121213 Test: 0.9223880597014925
44 Val: 0.9151515151515152 Test: 0.9044776119402985
45 Val: 0.9151515151515152 Test: 0.9313432835820895
46 Val: 0.9090909090909091 Test: 0.9134328358208955
Validation performance: 90.3 & 91.52 ± 0.81 & 92.73
Testing performance: 90.45 & 91.64 ± 0.86 & 93.13

[TRIAL] 258 [VALIDATION PERFORMANCE] 0.9272727272727272 [TRAINING LOSS] 0.0027071941710892135 [VALIDATION LOSS] 0.45130901716442573 

number                                     258
value                                 0.927273
params_threshold                      0.903853
params_attention_heads                      12
params_balanced_loss                     False
params_embedding_pooling_operation         min
params_attention_pooling_operation         min
params_batch_size                           20
params_dropout_rate                   0.435366
params_early_stopping_patience              12
params_epochs                              124
params_global_pooling                     mean
params_hidden_dimension                    124
params_learning_rate                  0.001181
params_number_of_hidden_layers               0
params_plateau_divider                       9
params_plateau_patience                     11
params_weight_decay                   0.000003
params_beta_0                         0.855677
params_beta_1                           0.9828
params_epsilon                             0.0
user_attrs_epoch                          21.0
user_attrs_training_loss              0.002707
user_attrs_validation_loss            0.451309
params_left_stride                         128
params_right_stride                         64
Name: 258, dtype: object
37 Val: 0.9151515151515152 Test: 0.9223880597014925
38 Val: 0.896969696969697 Test: 0.9164179104477612
39 Val: 0.896969696969697 Test: 0.9164179104477612
40 Val: 0.9090909090909091 Test: 0.9223880597014925
41 Val: 0.9212121212121213 Test: 0.9253731343283582
42 Val: 0.9212121212121213 Test: 0.9223880597014925
43 Val: 0.9151515151515152 Test: 0.9164179104477612
44 Val: 0.9151515151515152 Test: 0.9164179104477612
45 Val: 0.9090909090909091 Test: 0.8895522388059701
46 Val: 0.896969696969697 Test: 0.8955223880597015
Validation performance: 89.7 & 90.97 ± 0.97 & 92.12
Testing performance: 88.96 & 91.43 ± 1.2 & 92.54

[TRIAL] 213 [VALIDATION PERFORMANCE] 0.9212121212121213 [TRAINING LOSS] 0.05714519888162613 [VALIDATION LOSS] 0.2759937225944466 

number                                     213
value                                 0.921212
params_threshold                      0.901469
params_attention_heads                       6
params_balanced_loss                     False
params_embedding_pooling_operation         min
params_attention_pooling_operation         min
params_batch_size                           20
params_dropout_rate                   0.445727
params_early_stopping_patience              12
params_epochs                              159
params_global_pooling                     mean
params_hidden_dimension                    123
params_learning_rate                   0.00088
params_number_of_hidden_layers               0
params_plateau_divider                       6
params_plateau_patience                     11
params_weight_decay                   0.000004
params_beta_0                         0.855382
params_beta_1                         0.983098
params_epsilon                             0.0
user_attrs_epoch                          11.0
user_attrs_training_loss              0.057145
user_attrs_validation_loss            0.275994
params_left_stride                         128
params_right_stride                         64
Name: 213, dtype: object
37 Val: 0.9030303030303031 Test: 0.9194029850746268
38 Val: 0.9151515151515152 Test: 0.9134328358208955
39 Val: 0.9090909090909091 Test: 0.9253731343283582
40 Val: 0.9030303030303031 Test: 0.9074626865671642
41 Val: 0.9090909090909091 Test: 0.9194029850746268
42 Val: 0.9212121212121213 Test: 0.9283582089552239
43 Val: 0.9030303030303031 Test: 0.9194029850746268
44 Val: 0.9030303030303031 Test: 0.9283582089552239
45 Val: 0.9030303030303031 Test: 0.9194029850746268
46 Val: 0.9030303030303031 Test: 0.9194029850746268
Validation performance: 90.3 & 90.73 ± 0.64 & 92.12
Testing performance: 90.75 & 92.0 ± 0.64 & 92.84

[TRIAL] 155 [VALIDATION PERFORMANCE] 0.9212121212121213 [TRAINING LOSS] 0.08418529249727726 [VALIDATION LOSS] 0.3020818647411134 

number                                     155
value                                 0.921212
params_threshold                      0.937531
params_attention_heads                       4
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation         min
params_batch_size                           20
params_dropout_rate                   0.468544
params_early_stopping_patience              10
params_epochs                              134
params_global_pooling                     mean
params_hidden_dimension                     85
params_learning_rate                  0.000949
params_number_of_hidden_layers               0
params_plateau_divider                       8
params_plateau_patience                     16
params_weight_decay                   0.000021
params_beta_0                         0.872139
params_beta_1                         0.981274
params_epsilon                             0.0
user_attrs_epoch                          14.0
user_attrs_training_loss              0.084185
user_attrs_validation_loss            0.302082
params_left_stride                         128
params_right_stride                         64
Name: 155, dtype: object
slurmstepd: error: *** JOB 14025632 ON gpu028 CANCELLED AT 2024-11-29T19:48:09 DUE TO TIME LIMIT ***
